parent_id,vertex_id,azimuth,touch_id,side
"18","1",106.786278778883,"20",L
"18","1",286.786278778883,"-1",O
"18","2",106.786278778883,"20",L
"18","2",286.786278778883,"-1",O
"18","3",98.547639088114,"20",L
"18","3",278.547639088114,"-1",O
"18","4",90.3089993974437,"20",L
"18","4",270.308999397444,"-1",O
"18","5",90.3089993974437,"20",L
"18","5",270.308999397444,"-1",O
"18","6",90.3089993974437,"20",L
"18","6",270.308999397444,"-1",O
"18","7",90.3089993974437,"20",L
"18","7",270.308999397444,"-1",O
"18","8",93.514513790371,"20",L
"18","8",273.514513790371,"-1",O
"18","9",96.7200281826498,"20",L
"18","9",276.72002818265,"-1",O
"18","10",100.23099639198,"20",L
"18","10",280.23099639198,"-1",O
"18","11",103.741964600591,"20",L
"18","11",283.741964600591,"-1",O
"18","12",103.741964600591,"20",L
"18","12",283.741964600591,"-1",O
"18","13",99.3240424161334,"20",L
"18","13",279.324042416133,"-1",O
"18","14",94.9061202303317,"20",L
"18","14",274.906120230332,"-1",O
"18","15",94.9061202303317,"20",L
"18","15",274.906120230332,"-1",O
"18","16",102.780441143483,"20",L
"18","16",282.780441143483,"-1",O
"18","17",110.654762056758,"20",L
"18","17",290.654762056758,"-1",O
"18","18",118.881112667954,"20",SE
"18","18",298.881112667954,"-1",NO
"18","19",127.107463279247,"20",SE
"18","19",307.107463279247,"-1",NO
"18","20",127.107463279247,"20",SE
"18","20",307.107463279247,"-1",NO
"18","21",115.294154836041,"20",SE
"18","21",295.294154836041,"-1",NO
"18","22",103.480846392932,"20",L
"18","22",283.480846392932,"-1",O
"18","23",93.8254511954253,"-1",L
"18","23",273.825451195425,"-1",O
"18","24",84.1700559979187,"21",L
"18","24",264.170055997919,"-1",O
"18","25",84.1700559979186,"21",L
"18","25",264.170055997919,"-1",O
"20","1",41.3608278379147,"-1",NE
"20","1",221.360827837915,"-1",SO
"20","2",41.3608278379147,"-1",NE
"20","2",221.360827837915,"-1",SO
"20","3",49.3329241702588,"-1",NE
"20","3",229.332924170259,"-1",SO
"20","4",57.3050205024857,"22",NE
"20","4",237.305020502486,"-1",SO
"20","5",70.5886499029261,"22",L
"20","5",250.588649902926,"-1",O
"20","6",83.8722793027115,"22",L
"20","6",263.872279302711,"-1",O
"20","7",83.8722793027115,"22",L
"20","7",263.872279302711,"-1",O
"20","8",78.4680470843542,"22",L
"20","8",258.468047084354,"-1",O
"20","9",73.0638148653351,"22",L
"20","9",253.063814865335,"-1",O
"20","10",73.0638148653351,"22",L
"20","10",253.063814865335,"-1",O
"20","11",88.6066266257164,"22",L
"20","11",268.606626625716,"18",O
"20","12",124.128191981468,"22",SE
"20","12",304.128191981468,"18",NO
"20","13",144.106945582563,"-1",SE
"20","13",324.106945582563,"18",NO
"20","14",144.106945582563,"-1",SE
"20","14",324.106945582563,"18",NO
"20","15",141.126200413738,"-1",SE
"20","15",321.126200413737,"18",NO
"20","16",138.145455245929,"22",SE
"20","16",318.145455245929,"18",NO
"20","17",138.145455245863,"22",SE
"20","17",318.145455245863,"18",NO
"20","18",138.145455250682,"22",SE
"20","18",318.145455250682,"18",NO
"20","19",133.214911460712,"22",SE
"20","19",313.214911460712,"18",NO
"20","20",128.284367675124,"22",SE
"20","20",308.284367675124,"18",NO
"20","21",128.284367675124,"22",SE
"20","21",308.284367675124,"18",NO
"20","22",132.088717745661,"22",SE
"20","22",312.088717745661,"18",NO
"20","23",135.893067813937,"22",SE
"20","23",315.893067813937,"-1",NO
"20","24",140.33827616044,"22",SE
"20","24",320.33827616044,"-1",NO
"20","25",144.783484513594,"22",SE
"20","25",324.783484513594,"-1",NO
"20","26",144.783484513594,"22",SE
"20","26",324.783484513594,"-1",NO
"20","27",142.160754646221,"22",SE
"20","27",322.160754646221,"-1",NO
"20","28",139.538024778791,"22",SE
"20","28",319.538024778791,"-1",NO
"20","29",148.968070990362,"22",SE
"20","29",328.968070990362,"21",NO
"20","30",158.398117207374,"22",S
"20","30",338.398117207374,"21",N
"20","31",158.398117207374,"22",S
"20","31",338.398117207374,"21",N
"20","32",158.398117201933,"22",S
"20","32",338.398117201933,"21",N
"21","1",138.976474021299,"20",SE
"21","1",318.976474021299,"-1",NO
"21","2",138.976474026813,"20",SE
"21","2",318.976474026813,"-1",NO
"21","3",138.976474026813,"20",SE
"21","3",318.976474026813,"-1",NO
"21","4",147.695839958011,"20",SE
"21","4",327.695839958011,"-1",NO
"21","5",156.415205901157,"20",SE
"21","5",336.415205901157,"-1",NO
"21","6",156.415205901157,"20",SE
"21","6",336.415205901157,"-1",NO
"21","7",153.461364875064,"22",SE
"21","7",333.461364875064,"-1",NO
"21","8",150.507523855407,"22",SE
"21","8",330.507523855407,"-1",NO
"21","9",150.507523855407,"22",SE
"21","9",330.507523855407,"-1",NO
"21","10",155.029333692608,"22",SE
"21","10",335.029333692608,"-1",NO
"21","11",159.551143524147,"22",S
"21","11",339.551143524147,"-1",N
"21","12",159.551143524147,"22",S
"21","12",339.551143524147,"-1",N
"21","13",159.551143524147,"22",S
"21","13",339.551143524147,"-1",N
"21","14",159.551143524147,"22",S
"21","14",339.551143524147,"-1",N
"21","15",159.551143529809,"22",S
"21","15",339.551143529809,"-1",N
"21","16",159.551143524147,"22",S
"21","16",339.551143524147,"-1",N
"21","17",159.551143524147,"22",S
"21","17",339.551143524147,"-1",N
"21","18",150.157498293718,"22",SE
"21","18",330.157498293718,"-1",NO
"21","19",140.763853052102,"22",SE
"21","19",320.763853052102,"-1",NO
"21","20",140.763853052102,"22",SE
"21","20",320.763853052102,"-1",NO
"21","21",144.242036413741,"22",SE
"21","21",324.242036413741,"-1",NO
"21","22",147.720219765028,"22",SE
"21","22",327.720219765028,"-1",NO
"21","23",147.720219765028,"22",SE
"21","23",327.720219765028,"-1",NO
"21","24",147.720219765028,"22",SE
"21","24",327.720219765028,"-1",NO
"21","25",155.538315275333,"22",SE
"21","25",335.538315275333,"-1",NO
"21","26",163.356410790433,"22",S
"21","26",343.356410790433,"-1",N
"21","27",168.027250519159,"22",S
"21","27",348.027250519159,"-1",N
"21","28",172.698090242411,"22",S
"21","28",352.698090242411,"-1",N
"21","29",172.698090236891,"22",S
"21","29",352.698090236891,"-1",N
"21","30",172.6980902424,"22",S
"21","30",352.6980902424,"-1",N
"21","31",167.305178329241,"22",S
"21","31",347.305178329241,"-1",N
"21","32",161.912266402218,"22",S
"21","32",341.912266402218,"-1",N
"21","33",152.603095507473,"22",SE
"21","33",332.603095507473,"-1",NO
"21","34",143.293924626478,"22",SE
"21","34",323.293924626478,"-1",NO
"21","35",136.100928364312,"22",SE
"21","35",316.100928364312,"-1",NO
"21","36",122.196393187932,"22",SE
"21","36",302.196393187932,"-1",NO
"21","37",115.484854279124,"22",SE
"21","37",295.484854279124,"-1",NO
"22","1",81.6094904328647,"25",L
"22","1",261.609490432865,"-1",O
"22","2",81.6094904320138,"25",L
"22","2",261.609490432014,"-1",O
"22","3",76.5730261979843,"25",L
"22","3",256.573026197984,"-1",O
